snapshot_path,repo_commit,file_path,pylint_score,pylint_msgs,radon_cc_total,bandit_issues_count
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\serializers\test_data.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\serializers\test_data.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\forms_tests\tests\test_utils.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\forms_tests\tests\test_utils.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\utils_tests\test_text.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\utils_tests\test_text.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\gis_tests\distapp\models.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\gis_tests\distapp\models.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\forms\forms.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\forms\forms.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\core\cache\backends\base.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\core\cache\backends\base.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\core\cache\backends\filebased.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\core\cache\backends\filebased.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\template\context.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\template\context.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\core\cache\backends\locmem.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\core\cache\backends\locmem.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\core\cache\backends\db.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\core\cache\backends\db.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\datasource.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\datasource.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\envelope.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\envelope.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\error.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\error.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\srs.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\srs.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\geometries.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\geometries.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\collections.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\collections.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\coordseq.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\coordseq.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\__init__.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\__init__.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\libgeos.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\libgeos.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\geometry.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\geometry.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\error.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\error.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\utils\layermapping.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\utils\layermapping.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\utils\__init__.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\utils\__init__.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\coordseq.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\coordseq.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\errcheck.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\errcheck.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\geom.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\geom.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\__init__.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\__init__.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\misc.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\misc.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\prototypes\ds.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\prototypes\ds.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\predicates.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\predicates.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\topology.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\topology.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\prototypes\errcheck.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\prototypes\errcheck.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\prototypes\generation.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\prototypes\generation.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\oracle\models.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\oracle\models.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\postgis\adapter.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\postgis\adapter.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\oracle\operations.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\oracle\operations.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\postgis\models.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\postgis\models.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\spatialite\models.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\spatialite\models.py,,1,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\tests\csrf_tests\tests.py,snapshots,ff308a06047cd60806d604a7cf612e5656ee2ac9\tests\csrf_tests\tests.py,,1,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\tests\admin_views\tests.py,snapshots,ff308a06047cd60806d604a7cf612e5656ee2ac9\tests\admin_views\tests.py,,1,0,0
snapshots\ff3a2834224f527ca574b5cd0d578c8c26d51a6c\django\db\migrations\operations\models.py,snapshots,ff3a2834224f527ca574b5cd0d578c8c26d51a6c\django\db\migrations\operations\models.py,,1,0,0
snapshots\ff3a2834224f527ca574b5cd0d578c8c26d51a6c\tests\migrations\test_operations.py,snapshots,ff3a2834224f527ca574b5cd0d578c8c26d51a6c\tests\migrations\test_operations.py,,1,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\forms\fields.py,snapshots,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\forms\fields.py,,1,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\http\response.py,snapshots,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\http\response.py,,1,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\middleware\common.py,snapshots,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\middleware\common.py,,1,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\test\client.py,snapshots,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\test\client.py,,1,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\middleware\csrf.py,snapshots,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\middleware\csrf.py,,1,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\utils\http.py,snapshots,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\utils\http.py,,1,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\test\testcases.py,snapshots,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\test\testcases.py,,1,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\auth\decorators.py,snapshots,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\auth\decorators.py,,1,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\admin\options.py,snapshots,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\admin\options.py,,1,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\auth\mixins.py,snapshots,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\auth\mixins.py,,1,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\auth\middleware.py,snapshots,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\auth\middleware.py,,1,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\auth\views.py,snapshots,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\auth\views.py,,1,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\staticfiles\handlers.py,snapshots,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\staticfiles\handlers.py,,1,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\admin\templatetags\admin_urls.py,snapshots,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\admin\templatetags\admin_urls.py,,1,0,0
snapshots\ff0ff98d427982b7225df59f454a86bdf66251d6\django\contrib\admin\tests.py,snapshots,ff0ff98d427982b7225df59f454a86bdf66251d6\django\contrib\admin\tests.py,,1,0,0
snapshots\ff0ff98d427982b7225df59f454a86bdf66251d6\django\test\selenium.py,snapshots,ff0ff98d427982b7225df59f454a86bdf66251d6\django\test\selenium.py,,1,0,0
snapshots\ff225fac1d129d4bcfef0aeb03df6f3b20fbb23d\django\db\backends\sqlite3\features.py,snapshots,ff225fac1d129d4bcfef0aeb03df6f3b20fbb23d\django\db\backends\sqlite3\features.py,,1,0,0
snapshots\fee87345967b3d917b618533585076cbfa43451b\tests\postgres_tests\test_aggregates.py,snapshots,fee87345967b3d917b618533585076cbfa43451b\tests\postgres_tests\test_aggregates.py,,1,0,0
snapshots\fecca298a2c6de22b054eaffeb4368b1167c7fd5\tests\postgres_tests\test_array.py,snapshots,fecca298a2c6de22b054eaffeb4368b1167c7fd5\tests\postgres_tests\test_array.py,,1,0,0
snapshots\fee87345967b3d917b618533585076cbfa43451b\django\contrib\postgres\aggregates\general.py,snapshots,fee87345967b3d917b618533585076cbfa43451b\django\contrib\postgres\aggregates\general.py,,1,0,0
snapshots\fecca298a2c6de22b054eaffeb4368b1167c7fd5\tests\postgres_tests\array_default_migrations\0001_initial.py,snapshots,fecca298a2c6de22b054eaffeb4368b1167c7fd5\tests\postgres_tests\array_default_migrations\0001_initial.py,,1,0,0
snapshots\fecca298a2c6de22b054eaffeb4368b1167c7fd5\tests\postgres_tests\array_default_migrations\0002_integerarraymodel_field_2.py,snapshots,fecca298a2c6de22b054eaffeb4368b1167c7fd5\tests\postgres_tests\array_default_migrations\0002_integerarraymodel_field_2.py,,1,0,0
snapshots\fecca298a2c6de22b054eaffeb4368b1167c7fd5\tests\postgres_tests\migrations\0002_create_test_models.py,snapshots,fecca298a2c6de22b054eaffeb4368b1167c7fd5\tests\postgres_tests\migrations\0002_create_test_models.py,,1,0,0
snapshots\fecca298a2c6de22b054eaffeb4368b1167c7fd5\django\contrib\postgres\fields\array.py,snapshots,fecca298a2c6de22b054eaffeb4368b1167c7fd5\django\contrib\postgres\fields\array.py,,1,0,0
snapshots\fe835c2355072fc2b7a0fbbc57d05477c7ee6ce9\tests\template_tests\test_autoreloader.py,snapshots,fe835c2355072fc2b7a0fbbc57d05477c7ee6ce9\tests\template_tests\test_autoreloader.py,,1,0,0
snapshots\fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\tests\file_storage\test_base.py,snapshots,fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\tests\file_storage\test_base.py,,1,0,0
snapshots\fe835c2355072fc2b7a0fbbc57d05477c7ee6ce9\django\template\autoreload.py,snapshots,fe835c2355072fc2b7a0fbbc57d05477c7ee6ce9\django\template\autoreload.py,,1,0,0
snapshots\fe76944269c13d59f8bb3bc1cfff7ab6443777e4\tests\humanize_tests\tests.py,snapshots,fe76944269c13d59f8bb3bc1cfff7ab6443777e4\tests\humanize_tests\tests.py,,1,0,0
snapshots\fe7dbef5867c577995f0fc849d8dfdb8f2e6bbfa\tests\admin_views\test_prevent_double_submission.py,snapshots,fe7dbef5867c577995f0fc849d8dfdb8f2e6bbfa\tests\admin_views\test_prevent_double_submission.py,,1,0,0
snapshots\fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\tests\file_storage\tests.py,snapshots,fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\tests\file_storage\tests.py,,1,0,0
snapshots\fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\django\core\files\utils.py,snapshots,fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\django\core\files\utils.py,,1,0,0
snapshots\fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\tests\file_uploads\tests.py,snapshots,fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\tests\file_uploads\tests.py,,1,0,0
snapshots\fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\django\core\files\storage\base.py,snapshots,fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\django\core\files\storage\base.py,,1,0,0
snapshots\fe1cb62f5c3f87fafc4a6b52fee2ccc6c80c41e2\tests\schema\tests.py,snapshots,fe1cb62f5c3f87fafc4a6b52fee2ccc6c80c41e2\tests\schema\tests.py,,1,0,0
snapshots\fe1cb62f5c3f87fafc4a6b52fee2ccc6c80c41e2\django\db\backends\base\schema.py,snapshots,fe1cb62f5c3f87fafc4a6b52fee2ccc6c80c41e2\django\db\backends\base\schema.py,,1,0,0
snapshots\fe19b33e2f76045617067dd5123041ae4d3a91ee\tests\model_enums\tests.py,snapshots,fe19b33e2f76045617067dd5123041ae4d3a91ee\tests\model_enums\tests.py,,1,0,0
snapshots\fe19b33e2f76045617067dd5123041ae4d3a91ee\django\db\models\enums.py,snapshots,fe19b33e2f76045617067dd5123041ae4d3a91ee\django\db\models\enums.py,,1,0,0
snapshots\fe074c96a343530beea50fbdd0803d3e7b739e8e\django\db\backends\base\schema.py,snapshots,fe074c96a343530beea50fbdd0803d3e7b739e8e\django\db\backends\base\schema.py,,1,0,0
snapshots\fdfbc66331292def201c9344e3cd29fbcbcd076a\tests\db_functions\comparison\test_cast.py,snapshots,fdfbc66331292def201c9344e3cd29fbcbcd076a\tests\db_functions\comparison\test_cast.py,,1,0,0
snapshots\fdfbc66331292def201c9344e3cd29fbcbcd076a\tests\postgres_tests\test_constraints.py,snapshots,fdfbc66331292def201c9344e3cd29fbcbcd076a\tests\postgres_tests\test_constraints.py,,1,0,0
snapshots\fdfbc66331292def201c9344e3cd29fbcbcd076a\tests\postgres_tests\test_indexes.py,snapshots,fdfbc66331292def201c9344e3cd29fbcbcd076a\tests\postgres_tests\test_indexes.py,,1,0,0
snapshots\fdfb3086fcba1b737ec09676ab4bb95105f3371e\django\db\models\indexes.py,snapshots,fdfb3086fcba1b737ec09676ab4bb95105f3371e\django\db\models\indexes.py,,1,0,0
snapshots\fdfb3086fcba1b737ec09676ab4bb95105f3371e\django\db\backends\mysql\features.py,snapshots,fdfb3086fcba1b737ec09676ab4bb95105f3371e\django\db\backends\mysql\features.py,,1,0,0
snapshots\fdfbc66331292def201c9344e3cd29fbcbcd076a\django\db\models\functions\comparison.py,snapshots,fdfbc66331292def201c9344e3cd29fbcbcd076a\django\db\models\functions\comparison.py,,1,0,0
snapshots\fdfb3086fcba1b737ec09676ab4bb95105f3371e\tests\indexes\tests.py,snapshots,fdfb3086fcba1b737ec09676ab4bb95105f3371e\tests\indexes\tests.py,,1,0,0
snapshots\fdfa97fb166ef5065aa2b229f19cb4ce303084e5\tests\model_fields\tests.py,snapshots,fdfa97fb166ef5065aa2b229f19cb4ce303084e5\tests\model_fields\tests.py,,1,0,0
snapshots\fdfa97fb166ef5065aa2b229f19cb4ce303084e5\django\db\models\fields\__init__.py,snapshots,fdfa97fb166ef5065aa2b229f19cb4ce303084e5\django\db\models\fields\__init__.py,,1,0,0
snapshots\fdf14cfc01558bfa6f990560d38531c82fb5c024\django\conf\locale\fr_BE\formats.py,snapshots,fdf14cfc01558bfa6f990560d38531c82fb5c024\django\conf\locale\fr_BE\formats.py,,1,0,0
snapshots\fdf14cfc01558bfa6f990560d38531c82fb5c024\django\conf\locale\fr\formats.py,snapshots,fdf14cfc01558bfa6f990560d38531c82fb5c024\django\conf\locale\fr\formats.py,,1,0,0
snapshots\fdf0f625216cc5a70d28a3ac9a41f41935f1827c\tests\auth_tests\test_forms.py,snapshots,fdf0f625216cc5a70d28a3ac9a41f41935f1827c\tests\auth_tests\test_forms.py,,1,0,0
snapshots\fdf14cfc01558bfa6f990560d38531c82fb5c024\django\conf\locale\fr_CH\formats.py,snapshots,fdf14cfc01558bfa6f990560d38531c82fb5c024\django\conf\locale\fr_CH\formats.py,,1,0,0
snapshots\fde6fb28984a76d5bee794f4c0458eb25fe56fcd\tests\migrations\test_writer.py,snapshots,fde6fb28984a76d5bee794f4c0458eb25fe56fcd\tests\migrations\test_writer.py,,1,0,0
snapshots\fdf0f625216cc5a70d28a3ac9a41f41935f1827c\tests\auth_tests\test_views.py,snapshots,fdf0f625216cc5a70d28a3ac9a41f41935f1827c\tests\auth_tests\test_views.py,,1,0,0
snapshots\fdca036827b7059c9915680da490ef3520f720fc\tests\test_client_regress\tests.py,snapshots,fdca036827b7059c9915680da490ef3520f720fc\tests\test_client_regress\tests.py,,1,0,0
snapshots\fde6fb28984a76d5bee794f4c0458eb25fe56fcd\django\db\migrations\serializer.py,snapshots,fde6fb28984a76d5bee794f4c0458eb25fe56fcd\django\db\migrations\serializer.py,,1,0,0
